Country Name,Time,Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],Consumer price index (2010 = 100) [FP.CPI.TOTL],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Gini index [SI.POV.GINI],CoL_Trend
Brazil,2015.0,6666.74707912629,8936.19661756825,782.52294922,138.388614560102,9.02990102416136,51.9,Decreasing
Brazil,2016.0,6565.20698073027,8836.28652636996,795.93798828,150.482594206408,8.73914352329393,53.4,Decreasing
Brazil,2017.0,7642.22874304387,10080.5092817775,937.34289551,155.668786230018,3.44637335032669,53.3,Decreasing
Brazil,2018.0,6984.28849842098,9300.66164936497,863.28173828,161.373814183906,3.66485028376729,53.9,Decreasing
Brazil,2019.0,6818.4920461384,9029.83326742175,850.43286133,167.397860280061,3.73297621216894,53.5,Decreasing
Brazil,2020.0,5367.94903435073,7074.19378281866,704.99536133,172.774291252888,3.21176803803376,48.9,Decreasing
Brazil,2021.0,5775.8395830056,7972.53665048385,761.26776123,187.117425058296,8.30165975585673,52.9,Decreasing
Bulgaria,2009.0,5759.80281082656,6988.27316296465,459.0,97.6190798145944,2.75320223914816,33.8,Decreasing
Bulgaria,2010.0,5620.27110440547,6863.66706774052,485.0,100.0,2.43899060504113,35.7,Decreasing
Bulgaria,2011.0,6408.16262013239,7857.16706984441,556.0,104.219903466019,4.21990346601873,34.3,Decreasing
Bulgaria,2012.0,6243.72397865396,7430.7373804242,559.0,107.299151694355,2.95456829831022,36.0,Decreasing
Bulgaria,2013.0,6422.010444937,7687.71368243317,547.0,108.254214513041,0.890093540913002,36.6,Decreasing
Bulgaria,2014.0,6643.09588537673,7912.27484371138,605.0,106.718970777133,-1.4181838026484,37.4,Decreasing
Bulgaria,2015.0,5819.87762443473,7078.86032298969,521.0,106.607307237894,-0.104633261008385,38.6,Decreasing
Bulgaria,2016.0,6238.05493669841,7570.93165511708,562.0,105.755888099687,-0.79864988645371,40.6,Decreasing
Bulgaria,2017.0,6970.95551448992,8381.88134621669,625.0,107.936147464138,2.06159619443141,40.4,Decreasing
Bulgaria,2018.0,7752.82289796767,9436.14479876055,690.0,110.974058623258,2.81454473824829,41.3,Decreasing
Bulgaria,2019.0,8165.63288119688,9838.60058985384,698.0,114.418393160353,3.10372944796781,40.3,Decreasing
Bulgaria,2020.0,8311.25395727221,10198.5388313404,857.0,116.331973243132,1.67244096855756,40.5,Decreasing
Bulgaria,2021.0,10114.5235213919,12274.0775950496,1040.0,120.168304321485,3.29774435299515,39.0,Decreasing
Burkina Faso,2009.0,536.876298788017,601.569520671859,30.68659401,100.770116199365,2.60817666368315,39.8,Decreasing
Burkina Faso,2014.0,653.937090156577,764.861675106226,38.37065506,106.975893599335,-0.258089517535384,35.3,Decreasing
Burkina Faso,2018.0,677.404196251433,777.465618514048,39.00283813,111.979764709293,1.95594302672523,43.0,Decreasing
Burkina Faso,2021.0,670.055139103883,895.535288442991,56.95098114,114.434519867232,3.65353287214209,37.4,Decreasing
Burundi,2013.0,164.079508952851,234.843045388828,20.8417263,139.774527564212,7.93795807492418,38.6,Decreasing
Burundi,2020.0,150.032182597846,210.008139902508,27.07072449,195.44497823506,7.32110643415521,37.5,Decreasing
